Phase-V v4 cross-corpus specificity (spelled view)
schema=phase5-crosscorpus-v4.1; feature_schema=phase5-theory-v4.1
grids: 4 corpora x one direct + 5 baselines; 36 cells/grid; 15 rows/cell

Direct versus five-seed size-matched Wikipedia baseline; specificity is direct row DeltaKL minus the mean baseline row DeltaKL.
corpus | model | family | extraction | direct residual_r(p) dkl(p) r2 | baseline dkl mean sd [min,max] sig/5 | row mean Wilcoxon-p
olmomix_dclm | olmo2_7b | E_modulation | D_doc | +0.2090(+0.0885) +0.017619(+0.0090) +0.049565 | +0.000265 0.001726 [-0.001756,+0.002904] 0/5 | +0.017354 p=0.00836182
dolmino_dclm | olmo2_1b | C_harmonic | A_win40 | +0.1901(+0.0810) +0.009877(+0.0255) +0.019796 | -0.001608 0.001604 [-0.004002,-0.000028] 0/5 | +0.011485 p=0.00537109
dolmino_dclm | olmo2_1b | C_harmonic | B_any | +0.1051(+0.2049) +0.001279(+0.2614) -0.001692 | -0.001803 0.000170 [-0.001991,-0.001596] 0/5 | +0.003082 p=0.0479126
dolmino_dclm | olmo2_1b | C_harmonic | D_doc | +0.1827(+0.1164) +0.004293(+0.1799) +0.017072 | +0.000332 0.002758 [-0.001503,+0.005152] 0/5 | +0.003961 p=0.276855
dolmino_dclm | olmo2_1b | D_chord | A_win40 | +0.1305(+0.2024) +0.000528(+0.3023) +0.017215 | -0.001710 0.001795 [-0.004481,+0.000396] 0/5 | +0.002237 p=0.561401
dolmino_dclm | olmo2_1b | D_chord | B_any | +0.0417(+0.3848) -0.000376(+0.4088) +0.000416 | -0.001678 0.002127 [-0.004136,+0.000061] 0/5 | +0.001303 p=0.454285
dolmino_dclm | olmo2_1b | D_chord | D_doc | +0.3776(+0.0085) +0.019155(+0.0025) +0.142952 | -0.000334 0.001126 [-0.001614,+0.001122] 0/5 | +0.019489 p=0.072998
dolmino_dclm | olmo2_1b | E_modulation | A_win40 | +0.1528(+0.1339) +0.003387(+0.2984) +0.022625 | +0.000677 0.000862 [-0.000321,+0.002010] 1/5 | +0.002710 p=0.135376
dolmino_dclm | olmo2_1b | E_modulation | B_any | +0.0563(+0.3243) -0.000996(+0.7971) -0.003718 | -0.000554 0.000490 [-0.001248,-0.000091] 0/5 | -0.000441 p=0.454285
dolmino_dclm | olmo2_1b | E_modulation | D_doc | +0.2386(+0.0615) +0.011704(+0.1000) +0.029617 | +0.000513 0.001495 [-0.000952,+0.002625] 1/5 | +0.011191 p=0.0102539
dolmino_dclm | gemma2_2b | C_harmonic | A_win40 | +0.3413(+0.0025) +0.025097(+0.0060) +0.081774 | -0.002203 0.003370 [-0.007357,+0.002043] 0/5 | +0.027300 p=0.0102539
dolmino_dclm | gemma2_2b | C_harmonic | B_any | +0.2356(+0.0150) +0.007482(+0.1159) +0.047148 | -0.000233 0.003532 [-0.004415,+0.004263] 0/5 | +0.007715 p=0.359131
dolmino_dclm | gemma2_2b | C_harmonic | D_doc | +0.3758(+0.0025) +0.019205(+0.0450) +0.071175 | +0.001004 0.002140 [-0.000576,+0.004462] 0/5 | +0.018200 p=0.0412598
dolmino_dclm | gemma2_2b | D_chord | A_win40 | +0.1362(+0.1794) +0.001038(+0.4078) +0.002707 | -0.001956 0.002150 [-0.005604,-0.000181] 0/5 | +0.002994 p=0.135376
dolmino_dclm | gemma2_2b | D_chord | B_any | +0.0669(+0.2894) -0.001212(+0.6142) -0.003586 | -0.001477 0.001042 [-0.003143,-0.000396] 0/5 | +0.000265 p=0.803955
dolmino_dclm | gemma2_2b | D_chord | D_doc | +0.4344(+0.0010) +0.029616(+0.0110) +0.112086 | -0.000513 0.000911 [-0.001992,+0.000300] 0/5 | +0.030129 p=0.00427246
dolmino_dclm | gemma2_2b | E_modulation | A_win40 | +0.1260(+0.1954) +0.002882(+0.3053) +0.006739 | -0.001496 0.001749 [-0.004514,+0.000032] 0/5 | +0.004378 p=0.072998
dolmino_dclm | gemma2_2b | E_modulation | B_any | +0.0488(+0.3443) -0.000144(+0.5337) -0.000789 | -0.001303 0.001056 [-0.002367,+0.000002] 0/5 | +0.001159 p=0.207764
