corpus,view,cell,metric,n_seeds,mean,sd,min,max,seed_artifacts
olmomix_wiki,spelled,gemma2_2b|C_harmonic|D_doc,dkl,5,-0.004146842564100042,0.002592389202272933,-0.006210639047809413,-0.0004419956954438975,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|D_doc,dkl_p,5,0.8511744127936032,0.14659401359784807,0.6096951524237881,0.9465267366316842,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|A_win40,resid_r,5,-0.1348984265921158,0.04321796456167948,-0.18011357562367789,-0.06575011419112192,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|A_win40,resid_p,5,0.7914042978510745,0.08787974862884153,0.6416791604197901,0.8715642178910544,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|A_win40,dcv,5,-0.0007032967032966741,0.001127348516435005,-0.002344322344322358,0.0005860805860807838,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|A_win40,dcv_p,5,0.5932033983008496,0.15530815608491935,0.4012993503248376,0.7646176911544228,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|A_win40,r2gain,5,0.0037153881973545745,0.009210862722702133,-0.0034316217748757705,0.019830165274923872,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|A_win40,r2gain_p,5,0.5975012493753123,0.16259998350453686,0.32033983008495753,0.7481259370314842,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|A_win40,dkl,5,-0.0011636449676803566,0.0010225316059877308,-0.00214539386942373,-4.139168889284728e-05,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|A_win40,dkl_p,5,0.5231384307846076,0.171887310079371,0.31634182908545727,0.6661669165417291,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|B_any,resid_r,5,-0.12204552743340472,0.07301034509049743,-0.24187850064627317,-0.052040700631371624,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|B_any,resid_p,5,0.766416791604198,0.11765088104114559,0.6336831584207896,0.9490254872563718,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|B_any,dcv,5,-0.001172161172161168,0.0008288431134787518,-0.002051282051282133,-0.0002930402930403364,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|B_any,dcv_p,5,0.6739630184907546,0.18907952030094777,0.4272863568215892,0.8540729635182409,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|B_any,r2gain,5,0.00985586961426308,0.014726592967895788,-0.002638227798041015,0.03541372908754281,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|B_any,r2gain_p,5,0.4655672163918041,0.17563945476351794,0.17841079460269865,0.6596701649175413,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|B_any,dkl,5,-0.0011523589705081342,0.000726618881578734,-0.0018892474947145854,-5.540029827817011e-05,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|B_any,dkl_p,5,0.5469265367316342,0.1444799132615071,0.3173413293353323,0.6856571714142928,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|D_doc,resid_r,5,0.07456249412847069,0.040030970684445215,0.034775650889394966,0.1372567567129802,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|D_doc,resid_p,5,0.35382308845577215,0.08115132664226596,0.23138430784607697,0.4397801099450275,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|D_doc,dcv,5,0.0006446886446886512,0.0014114689616166797,-0.0011721611721611236,0.002344322344322358,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|D_doc,dcv_p,5,0.4232883558220889,0.1821823983707463,0.2028985507246377,0.6841579210394803,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|D_doc,r2gain,5,-0.011496223986197674,0.007542596584864224,-0.024379399662834533,-0.005910822802087878,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|D_doc,r2gain_p,5,0.9656171914042979,0.03611779587263747,0.9155422288855573,0.999000499750125,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|D_doc,dkl,5,-0.0010307665994170212,0.0012415630715433923,-0.003031388289302557,0.00016076663844098726,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|D_chord|D_doc,dkl_p,5,0.511744127936032,0.18859526222846038,0.3213393303348326,0.8000999500249875,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|E_modulation|A_win40,resid_r,5,0.06201384547106672,0.0638280193944102,-0.023156339793905273,0.13057050208459536,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|E_modulation|A_win40,resid_p,5,0.3787106446776612,0.14139634745881358,0.2158920539730135,0.5652173913043478,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|E_modulation|A_win40,dcv,5,0.004278388278388201,0.0031466032985895667,0.0002930402930402254,0.007912087912087862,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|E_modulation|A_win40,dcv_p,5,0.22018990504747626,0.17417729382982644,0.06146926536731634,0.4592703648175912,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
