## qwen25_3b predicting position, context 'The piece modulates from {x} major to'
layer | RSA PMI  -fifths  block  common | partial fifths  chrom | circle|line  line|circle | P1 P5 raw | P1 P5 blackproj | iso7
    0 | +nan  +nan  +nan  +nan | +nan  +nan | +nan  +nan | nan nan | nan nan | nan
   10 | +0.30  +0.21  +0.56  +0.42 | -0.04  -0.25 | -0.11  +0.08 | 0.15 0.25 | 0.18 0.08 | 0.54
   12 | +0.30  +0.37  +0.75  +0.32 | +0.05  -0.08 | +0.04  -0.03 | 0.16 0.32 | 0.24 0.08 | 0.43
   14 | +0.26  +0.29  +0.64  +0.24 | -0.03  -0.01 | +0.01  -0.05 | 0.18 0.29 | 0.24 0.10 | 0.53
   16 | +0.36  +0.37  +0.73  +0.29 | +0.04  +0.01 | +0.07  -0.07 | 0.18 0.31 | 0.25 0.12 | 0.54
   18 | +0.27  +0.29  +0.64  +0.22 | -0.04  +0.06 | +0.09  -0.16 | 0.18 0.30 | 0.25 0.12 | 0.58
   20 | +0.34  +0.35  +0.71  +0.20 | +0.00  +0.07 | +0.12  -0.17 | 0.16 0.37 | 0.25 0.13 | 0.47
   22 | +0.48  +0.44  +0.83  +0.17 | +0.14  +0.03 | -0.07  +0.19 | 0.19 0.38 | 0.30 0.10 | 0.39
   24 | +0.46  +0.41  +0.81  +0.19 | +0.07  -0.03 | -0.17  +0.28 | 0.18 0.34 | 0.27 0.09 | 0.41
   26 | +0.47  +0.36  +0.72  +0.22 | +0.05  +0.04 | -0.42  +0.58 | 0.18 0.35 | 0.27 0.08 | 0.38
   28 | +0.53  +0.42  +0.74  +0.27 | +0.14  +0.04 | -0.38  +0.61 | 0.16 0.40 | 0.27 0.10 | 0.39
   30 | +0.55  +0.44  +0.72  +0.25 | +0.17  +0.03 | -0.41  +0.67 | 0.15 0.41 | 0.25 0.11 | 0.41
   32 | +0.56  +0.45  +0.74  +0.25 | +0.22  +0.03 | -0.37  +0.63 | 0.15 0.44 | 0.26 0.09 | 0.32
   34 | +0.58  +0.46  +0.70  +0.22 | +0.24  +0.06 | -0.42  +0.70 | 0.14 0.46 | 0.26 0.10 | 0.31
   36 | +0.57  +0.47  +0.76  +0.22 | +0.21  +0.01 | -0.46  +0.72 | 0.13 0.49 | 0.26 0.10 | 0.26
## qwen25_3b predicting position, context 'The piece modulates from {x} major very often in the'
layer | RSA PMI  -fifths  block  common | partial fifths  chrom | circle|line  line|circle | P1 P5 raw | P1 P5 blackproj | iso7
    0 | +nan  +nan  +nan  +nan | +nan  +nan | +nan  +nan | nan nan | nan nan | nan
    2 | +0.22  +0.21  +0.49  +0.50 | +0.11  +0.07 | -0.04  +0.04 | 0.21 0.21 | 0.25 0.11 | 0.73
    4 | +0.36  +0.30  +0.57  +0.44 | +0.14  -0.16 | -0.00  +0.06 | 0.17 0.25 | 0.22 0.11 | 0.62
    6 | +0.32  +0.25  +0.47  +0.40 | +0.11  -0.18 | +0.06  -0.03 | 0.17 0.24 | 0.21 0.11 | 0.66
