/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:45: RuntimeWarning: invalid value encountered in divide
  v = paired_vector(mode_energies(Havg)); p = v / v.sum()
/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:46: RuntimeWarning: invalid value encountered in divide
  Hb = project_out(Havg, BLACK); vb = paired_vector(mode_energies(Hb)); pb = vb / vb.sum()
/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:23: ConstantInputWarning: An input array is constant; the correlation coefficient is not defined.
  return float(spearmanr(G[u], C[u]).correlation)
/home/moloch/Documents/Research/pitch_fourier/pf/fourier.py:192: ConstantInputWarning: An input array is constant; the correlation coefficient is not defined.
  return float(spearmanr(D[iu], L[iu]).correlation)
## olmo2_7b major [anchor]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 nan nan | nan nan | nan | +nan +nan | +nan (+nan,0.000) +nan±nan | +nan (+nan) | +nan
   14 0.185 0.347 | 0.286 0.087 | 0.42 | +0.20 +0.19 | +0.579 (+4.8,0.000) +0.477±0.142 | +0.252 (+1.2) | +0.249
   15 0.179 0.356 | 0.281 0.087 | 0.41 | +0.15 +0.08 | +0.586 (+4.7,0.000) +0.481±0.138 | +0.219 (+0.9) | +0.221
   16 0.178 0.359 | 0.284 0.086 | 0.40 | +0.09 -0.01 | +0.580 (+4.6,0.001) +0.478±0.136 | +0.188 (+0.7) | +0.291
   17 0.213 0.281 | 0.291 0.069 | 0.42 | +0.28 -0.11 | +0.489 (+4.0,0.003) +0.436±0.115 | +0.184 (+0.5) | +0.160
   18 0.200 0.310 | 0.285 0.068 | 0.38 | +0.44 +0.02 | +0.479 (+3.7,0.003) +0.451±0.089 | +0.105 (-0.1) | +0.177
   19 0.204 0.302 | 0.285 0.068 | 0.39 | +0.26 -0.20 | +0.491 (+3.8,0.003) +0.453±0.095 | +0.109 (-0.1) | +0.147
   20 0.199 0.293 | 0.272 0.069 | 0.41 | +0.30 -0.21 | +0.504 (+4.0,0.001) +0.469±0.084 | +0.124 (-0.1) | +0.234
   21 0.211 0.267 | 0.277 0.065 | 0.42 | +0.33 -0.30 | +0.474 (+3.7,0.003) +0.446±0.093 | +0.098 (-0.3) | +0.145
   22 0.211 0.260 | 0.271 0.067 | 0.43 | +0.27 -0.13 | +0.481 (+3.9,0.002) +0.448±0.089 | +0.134 (-0.1) | +0.208
   23 0.206 0.262 | 0.265 0.068 | 0.44 | +0.30 -0.17 | +0.479 (+3.8,0.002) +0.450±0.090 | +0.152 (+0.0) | +0.268
   24 0.204 0.258 | 0.259 0.071 | 0.46 | +0.44 -0.16 | +0.475 (+3.8,0.003) +0.452±0.086 | +0.143 (-0.1) | +0.329
   25 0.203 0.254 | 0.255 0.073 | 0.47 | +0.37 -0.21 | +0.478 (+3.8,0.001) +0.447±0.093 | +0.142 (-0.1) | +0.421
   26 0.204 0.255 | 0.254 0.076 | 0.48 | +0.64 -0.02 | +0.453 (+3.5,0.004) +0.439±0.088 | +0.146 (-0.1) | +0.442
   27 0.203 0.252 | 0.252 0.076 | 0.48 | +0.64 -0.02 | +0.453 (+3.5,0.004) +0.432±0.091 | +0.148 (-0.1) | +0.474
   28 0.200 0.252 | 0.248 0.078 | 0.49 | +0.66 -0.09 | +0.456 (+3.6,0.004) +0.432±0.088 | +0.141 (-0.1) | +0.445
   29 0.199 0.255 | 0.247 0.081 | 0.50 | +0.73 -0.02 | +0.463 (+3.7,0.003) +0.431±0.091 | +0.159 (-0.1) | +0.491
   30 0.193 0.261 | 0.241 0.085 | 0.51 | +0.78 +0.03 | +0.461 (+3.6,0.004) +0.429±0.097 | +0.155 (-0.1) | +0.505
   31 0.180 0.275 | 0.231 0.086 | 0.49 | +0.56 -0.08 | +0.477 (+3.7,0.003) +0.443±0.096 | +0.142 (-0.1) | +0.400
   32 0.174 0.273 | 0.225 0.086 | 0.49 | +0.46 -0.07 | +0.462 (+3.6,0.002) +0.427±0.115 | +0.137 (-0.2) | +0.297
## olmo2_7b major [last]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 0.190 0.210 | 0.235 0.070 | 0.56 | +0.09 -0.28 | +0.293 (+3.4,0.008) +0.293±0.000 | +0.090 (-0.0) | +0.244
    1 0.185 0.217 | 0.233 0.075 | 0.57 | +0.05 -0.33 | +0.332 (+3.7,0.004) +0.327±0.004 | +0.098 (-0.0) | +0.238
    2 0.183 0.221 | 0.231 0.087 | 0.63 | -0.02 -0.31 | +0.259 (+2.9,0.013) +0.265±0.010 | +0.206 (+0.8) | +0.199
    3 0.183 0.222 | 0.230 0.091 | 0.65 | -0.09 -0.26 | +0.275 (+2.9,0.018) +0.285±0.017 | +0.203 (+0.8) | +0.112
