## olmo2_1b_bf16 major [anchor]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    1 0.218 0.240 | 0.252 0.126 | 0.85 | -0.28 +0.16 | +0.238 (+1.8,0.048) +0.255±0.034 | +0.342 (+2.2) | -0.019
    2 0.216 0.217 | 0.251 0.095 | 0.66 | -0.36 -0.01 | +0.359 (+2.7,0.010) +0.378±0.053 | +0.344 (+2.0) | -0.075
    3 0.222 0.217 | 0.262 0.090 | 0.63 | -0.32 +0.07 | +0.432 (+3.2,0.002) +0.429±0.058 | +0.386 (+2.4) | -0.004
    4 0.220 0.235 | 0.268 0.090 | 0.60 | -0.17 +0.09 | +0.533 (+4.0,0.000) +0.523±0.068 | +0.387 (+2.3) | -0.086
    5 0.211 0.248 | 0.264 0.089 | 0.56 | -0.22 +0.03 | +0.570 (+4.2,0.001) +0.538±0.077 | +0.369 (+2.2) | -0.173
    6 0.211 0.252 | 0.263 0.094 | 0.57 | -0.19 +0.05 | +0.570 (+4.4,0.000) +0.550±0.083 | +0.374 (+2.1) | -0.147
    7 0.209 0.253 | 0.261 0.095 | 0.57 | -0.23 +0.05 | +0.535 (+4.1,0.002) +0.528±0.089 | +0.365 (+2.1) | -0.174
    8 0.203 0.272 | 0.259 0.100 | 0.55 | -0.16 +0.09 | +0.624 (+4.6,0.001) +0.596±0.089 | +0.457 (+2.9) | -0.068
    9 0.199 0.275 | 0.255 0.098 | 0.54 | -0.17 +0.09 | +0.635 (+4.8,0.001) +0.601±0.095 | +0.434 (+2.7) | -0.057
   10 0.194 0.269 | 0.247 0.097 | 0.54 | -0.12 +0.08 | +0.602 (+4.5,0.001) +0.569±0.099 | +0.407 (+2.5) | -0.071
   11 0.195 0.269 | 0.249 0.098 | 0.54 | -0.09 +0.03 | +0.592 (+4.6,0.001) +0.562±0.100 | +0.380 (+2.2) | -0.156
   12 0.198 0.279 | 0.257 0.103 | 0.54 | -0.18 +0.01 | +0.617 (+4.8,0.001) +0.587±0.104 | +0.405 (+2.5) | -0.183
   13 0.205 0.269 | 0.262 0.106 | 0.57 | -0.15 +0.00 | +0.555 (+4.4,0.003) +0.542±0.117 | +0.376 (+2.2) | -0.195
   14 0.212 0.267 | 0.271 0.104 | 0.56 | -0.12 +0.02 | +0.477 (+3.6,0.006) +0.491±0.124 | +0.306 (+1.8) | -0.179
   15 0.214 0.269 | 0.273 0.110 | 0.57 | -0.12 -0.01 | +0.458 (+3.3,0.009) +0.472±0.126 | +0.333 (+2.0) | -0.194
   16 0.211 0.261 | 0.268 0.108 | 0.56 | -0.20 +0.08 | +0.451 (+3.4,0.009) +0.446±0.131 | +0.338 (+1.8) | -0.177
## olmo2_1b_bf16 minor [mean]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 0.228 0.172 | 0.263 0.070 | 0.58 | +0.12 -0.31 | +0.310 (+3.1,0.000) +0.310±0.000 | +0.193 (+1.1) | +0.130
    1 0.224 0.190 | 0.264 0.072 | 0.59 | +0.11 -0.33 | +0.403 (+3.9,0.000) +0.409±0.006 | +0.231 (+1.4) | +0.040
    2 0.221 0.208 | 0.267 0.079 | 0.62 | -0.16 -0.26 | +0.490 (+4.5,0.000) +0.501±0.008 | +0.319 (+2.1) | -0.038
    3 0.212 0.238 | 0.265 0.086 | 0.58 | +0.11 -0.08 | +0.554 (+4.9,0.000) +0.543±0.019 | +0.377 (+2.4) | +0.226
    4 0.209 0.251 | 0.266 0.089 | 0.58 | +0.12 +0.10 | +0.590 (+5.4,0.000) +0.569±0.026 | +0.415 (+3.0) | +0.375
    5 0.206 0.265 | 0.266 0.093 | 0.56 | +0.17 +0.16 | +0.629 (+5.4,0.000) +0.613±0.058 | +0.452 (+3.5) | +0.426
    6 0.205 0.270 | 0.268 0.092 | 0.54 | +0.08 +0.30 | +0.662 (+5.5,0.000) +0.627±0.064 | +0.470 (+3.1) | +0.379
    7 0.191 0.293 | 0.259 0.098 | 0.52 | +0.08 +0.34 | +0.699 (+5.8,0.000) +0.644±0.076 | +0.508 (+3.4) | +0.438
    8 0.190 0.301 | 0.261 0.097 | 0.50 | +0.13 +0.30 | +0.739 (+5.8,0.000) +0.668±0.081 | +0.515 (+3.5) | +0.394
    9 0.186 0.306 | 0.258 0.100 | 0.50 | +0.22 +0.35 | +0.724 (+5.9,0.000) +0.663±0.080 | +0.503 (+3.5) | +0.408
   10 0.181 0.315 | 0.259 0.102 | 0.49 | +0.11 +0.41 | +0.719 (+5.9,0.000) +0.664±0.082 | +0.524 (+3.9) | +0.388
   11 0.202 0.280 | 0.273 0.094 | 0.51 | +0.20 -0.19 | +0.658 (+5.4,0.000) +0.633±0.073 | +0.380 (+2.6) | +0.096
   12 0.231 0.197 | 0.274 0.069 | 0.54 | +0.12 -0.10 | +0.542 (+4.2,0.000) +0.551±0.074 | +0.338 (+2.0) | +0.345
   13 0.249 0.167 | 0.281 0.071 | 0.59 | +0.23 -0.08 | +0.457 (+3.6,0.000) +0.477±0.083 | +0.294 (+1.6) | +0.216
   14 0.249 0.161 | 0.277 0.075 | 0.62 | +0.28 -0.15 | +0.441 (+3.4,0.001) +0.439±0.085 | +0.334 (+1.7) | +0.253
   15 0.241 0.161 | 0.269 0.074 | 0.64 | +0.41 -0.09 | +0.410 (+3.1,0.001) +0.395±0.109 | +0.311 (+1.7) | +0.291
   16 0.202 0.189 | 0.239 0.082 | 0.66 | +0.21 -0.13 | +0.375 (+2.9,0.004) +0.377±0.115 | +0.300 (+1.6) | +0.136
## olmo2_1b_bf16 minor [last]  n_ctx=24
